"Transaction_ID,Product_Key,Supplier_Key,Date_Key,Quantity_Sold,Quantity_Ordered,Actual_Lead_Time_Days"
"TXN000090,P004,S01,20251204,23,174,5"
"TXN000091,P005,S04,20250222,19,165,16"
"TXN000092,P001,S01,20250805,70,120,3"
"TXN000093,P004,S01,20250707,43,175,7"
"TXN000094,P001,S04,20260115,22,194,22"
"TXN000095,P001,S04,20260508,74,168,15"
"TXN000096,P005,S02,20250210,63,140,3"
"TXN000097,P001,S01,20250606,36,134,4"
"TXN000098,P002,S03,20250115,25,157,6"
"TXN000099,P002,S01,20250306,44,176,3"
"TXN000100,P003,S01,20260605,31,170,8"
"TXN000101,P005,S04,20251210,6,178,23"
"TXN000102,P003,S02,20250509,43,55,6"
"TXN000103,P002,S01,20261010,60,127,7"
"TXN000104,P003,S03,20260417,17,87,6"
"TXN000105,P005,S01,20250304,60,165,6"
"TXN000106,P005,S03,20250519,70,151,3"
"TXN000107,P001,S04,20260514,60,57,24"
"TXN000108,P004,S02,20260816,32,127,5"
"TXN000109,P001,S01,20260127,68,161,5"
"TXN000110,P005,S02,20261106,75,197,10"
"TXN000111,P002,S01,20260223,68,104,5"
"TXN000112,P002,S03,20251016,60,97,7"
"TXN000113,P001,S02,20260114,45,137,7"
"TXN000114,P005,S01,20260505,45,59,3"
"TXN000115,P002,S04,20250819,8,101,15"
"TXN000116,P005,S03,20250210,61,83,10"
"TXN000117,P002,S02,20250128,34,110,7"
"TXN000118,P005,S01,20250515,50,193,5"
"TXN000119,P003,S02,20250720,60,128,4"
"TXN000120,P005,S01,20250202,35,67,6"
"TXN000121,P005,S03,20250217,11,120,6"
"TXN000122,P001,S04,20260518,58,135,19"
"TXN000123,P003,S03,20260211,12,81,8"
"TXN000124,P004,S02,20260728,59,92,4"
"TXN000125,P001,S02,20261229,73,132,3"
"TXN000126,P004,S01,20250409,48,118,8"
"TXN000127,P002,S03,20261115,17,99,10"
"TXN000128,P004,S01,20261227,24,61,7"
"TXN000129,P005,S03,20260701,36,134,8"
"TXN000130,P004,S02,20260905,64,172,5"
"TXN000131,P001,S01,20260407,54,107,6"
"TXN000132,P001,S01,20261005,31,132,6"
"TXN000133,P004,S03,20250105,29,161,5"
"TXN000134,P001,S04,20250806,56,177,24"
"TXN000135,P001,S03,20260518,72,85,8"
"TXN000136,P004,S04,20260202,25,103,17"
"TXN000137,P003,S03,20260128,22,96,2"
"TXN000138,P003,S02,20250726,43,164,5"
"TXN000139,P002,S01,20250115,19,173,3"
"TXN000140,P001,S03,20260708,57,145,6"
"TXN000141,P004,S02,20260406,42,156,3"
"TXN000142,P001,S03,20261122,52,169,8"
"TXN000143,P005,S01,20260729,56,150,7"
"TXN000144,P001,S03,20250829,76,152,7"
"TXN000145,P001,S04,20260718,32,81,23"
"TXN000146,P003,S01,20250406,20,115,6"
"TXN000147,P004,S04,20260430,20,60,21"
"TXN000148,P001,S02,20260211,39,197,8"
"TXN000149,P003,S02,20250819,21,86,5"
"TXN000150,P002,S03,20261017,77,151,7"
"TXN000151,P003,S04,20250620,56,98,14"
"TXN000152,P003,S04,20260625,16,68,19"
"TXN000153,P003,S01,20250205,52,56,10"
"TXN000154,P001,S04,20260609,26,182,22"
"TXN000155,P001,S04,20250609,53,91,18"
"TXN000156,P002,S01,20261130,56,137,6"
"TXN000157,P005,S01,20250831,5,184,5"
"TXN000158,P005,S04,20250327,70,60,19"
"TXN000159,P005,S03,20260801,68,90,5"
"TXN000160,P002,S01,20261113,12,52,6"
"TXN000161,P005,S01,20260711,29,89,7"
"TXN000162,P005,S04,20260728,70,100,19"
"TXN000163,P003,S04,20261008,77,81,19"
"TXN000164,P001,S01,20250128,77,97,6"
"TXN000165,P001,S04,20260912,74,120,16"
"TXN000166,P003,S01,20260710,55,197,6"
"TXN000167,P003,S03,20251206,57,138,7"
"TXN000168,P003,S03,20251127,19,158,8"
"TXN000169,P001,S01,20261002,54,84,6"
"TXN000170,P005,S01,20260521,75,157,4"
"TXN000171,P003,S02,20251214,79,89,5"
"TXN000172,P002,S02,20260418,42,101,3"
"TXN000173,P003,S04,20250819,44,161,21"
"TXN000174,P004,S04,20250709,70,88,10"
"TXN000175,P003,S01,20250813,43,117,8"
"TXN000176,P001,S01,20260120,78,125,8"
"TXN000177,P003,S02,20260112,21,114,2"
"TXN000178,P004,S02,20251010,11,111,8"
"TXN000179,P002,S01,20260925,43,51,8"
"TXN000180,P005,S03,20260920,72,183,5"
"TXN000181,P003,S03,20250916,39,171,3"
"TXN000182,P004,S04,20251225,55,124,15"
"TXN000183,P004,S01,20261211,51,89,4"
"TXN000184,P002,S01,20260401,40,138,8"
"TXN000185,P001,S04,20260215,68,77,17"
"TXN000186,P003,S02,20261011,17,129,7"
"TXN000187,P004,S02,20251114,22,112,5"
"TXN000188,P002,S03,20261108,25,189,6"
"TXN000189,P005,S01,20250813,69,90,2"
"TXN000190,P004,S02,20250822,12,78,3"
"TXN000191,P002,S03,20261115,52,72,8"
"TXN000192,P001,S03,20261026,47,129,5"
"TXN000193,P001,S03,20260109,57,100,6"
"TXN000194,P004,S02,20261103,31,161,9"
"TXN000195,P004,S02,20260831,23,154,5"
"TXN000196,P003,S01,20260417,27,94,5"
"TXN000197,P002,S01,20250821,54,139,8"
"TXN000198,P004,S03,20261123,55,199,6"
"TXN000199,P003,S03,20250423,47,187,6"
"TXN000200,P003,S02,20260512,55,184,7"
"TXN000201,P004,S02,20260318,73,138,6"
"TXN000202,P001,S01,20260718,45,64,7"
"TXN000203,P002,S01,20250925,76,126,5"
"TXN000204,P002,S04,20260525,15,155,22"
"TXN000205,P001,S01,20260121,56,139,6"
"TXN000206,P004,S02,20260122,27,136,5"
"TXN000207,P002,S03,20250423,53,110,6"
"TXN000208,P004,S04,20260905,42,157,9"
"TXN000209,P004,S01,20260917,51,110,8"
"TXN000210,P003,S01,20250322,76,100,3"
"TXN000211,P001,S02,20261130,11,61,3"
"TXN000212,P004,S04,20250423,70,126,17"
"TXN000213,P005,S01,20250102,66,161,2"
"TXN000214,P001,S03,20261004,33,115,6"
"TXN000215,P002,S02,20250808,42,164,6"
"TXN000216,P003,S04,20260720,37,79,17"
"TXN000217,P002,S01,20250813,33,154,4"
"TXN000218,P002,S01,20260120,27,80,4"
"TXN000219,P001,S04,20260207,7,62,21"
"TXN000220,P002,S02,20260930,49,177,2"
"TXN000221,P004,S04,20250510,12,150,17"
"TXN000222,P002,S04,20250222,33,116,12"
"TXN000223,P003,S02,20261115,6,129,7"
"TXN000224,P003,S01,20261231,54,152,5"
"TXN000225,P005,S03,20261103,69,68,7"
"TXN000226,P003,S02,20261211,24,192,8"
"TXN000227,P002,S03,20260220,56,81,8"
"TXN000228,P003,S01,20250904,41,198,3"
"TXN000229,P001,S04,20260315,76,114,20"
"TXN000230,P003,S03,20250722,31,76,8"
"TXN000231,P004,S01,20250703,51,96,7"
"TXN000232,P001,S01,20250503,10,61,7"
"TXN000233,P005,S04,20260205,64,134,11"
"TXN000234,P004,S04,20251021,49,115,21"
"TXN000235,P002,S01,20251007,48,182,4"
"TXN000236,P002,S01,20260902,22,186,7"
"TXN000237,P002,S03,20250717,69,197,7"
"TXN000238,P004,S01,20260526,29,159,7"
"TXN000239,P004,S01,20250524,31,131,5"
"TXN000240,P004,S03,20260901,11,174,8"
"TXN000241,P001,S02,20250720,48,112,7"
"TXN000242,P001,S03,20250504,33,121,6"
"TXN000243,P002,S03,20250706,48,147,4"
"TXN000244,P003,S04,20251122,40,122,20"
"TXN000245,P002,S03,20260409,23,120,9"
"TXN000246,P005,S01,20251215,10,79,3"
"TXN000247,P001,S01,20261022,29,174,7"
"TXN000248,P004,S01,20260207,35,65,7"
"TXN000249,P001,S02,20251212,13,182,9"
"TXN000250,P004,S01,20260526,78,96,7"
"TXN000251,P005,S02,20250527,41,150,6"
"TXN000252,P005,S01,20250528,31,156,6"
"TXN000253,P001,S03,20261212,17,175,5"
"TXN000254,P004,S04,20260504,45,71,23"
"TXN000255,P005,S01,20261002,70,132,2"
"TXN000256,P002,S02,20260705,28,109,5"
"TXN000257,P002,S02,20251204,48,107,6"
"TXN000258,P004,S04,20261003,64,52,23"
"TXN000259,P001,S01,20260418,13,94,5"
"TXN000260,P005,S03,20250531,6,99,4"
"TXN000261,P001,S01,20260219,60,51,5"
"TXN000262,P002,S01,20251025,34,64,5"
"TXN000263,P005,S04,20260903,26,192,17"
"TXN000264,P001,S01,20250920,79,145,5"
"TXN000265,P003,S03,20250524,17,134,5"
"TXN000266,P004,S02,20251212,75,160,2"
"TXN000267,P004,S04,20260916,20,72,20"
"TXN000268,P003,S03,20260726,49,148,7"
"TXN000269,P002,S02,20250102,69,86,8"
"TXN000270,P005,S04,20251031,15,156,22"
"TXN000271,P004,S04,20250911,74,90,22"
"TXN000272,P003,S02,20261014,24,106,6"
"TXN000273,P003,S02,20260329,67,146,2"
"TXN000274,P002,S03,20250206,16,74,6"
"TXN000275,P002,S01,20250609,66,159,6"
"TXN000276,P001,S01,20250109,46,86,8"
"TXN000277,P004,S01,20250821,73,89,7"
"TXN000278,P001,S01,20250409,62,134,5"
"TXN000279,P003,S01,20261021,9,95,9"
"TXN000280,P005,S03,20250727,31,151,7"
"TXN000281,P005,S04,20250511,32,147,20"
"TXN000282,P002,S03,20260208,30,68,6"
"TXN000283,P005,S03,20250601,53,140,6"
"TXN000284,P005,S03,20250223,25,186,6"
"TXN000285,P005,S04,20250430,5,118,10"
"TXN000286,P003,S03,20261104,62,54,4"
"TXN000287,P005,S03,20260920,59,196,4"
"TXN000288,P005,S04,20260810,30,97,20"
"TXN000289,P005,S03,20260917,29,161,2"
"TXN000290,P001,S01,20260224,37,193,4"
"TXN000291,P003,S02,20260226,76,67,4"
"TXN000292,P002,S03,20250414,73,198,6"
"TXN000293,P001,S02,20250911,10,80,6"
"TXN000294,P004,S03,20250815,27,178,4"
"TXN000295,P003,S03,20250422,34,180,4"
"TXN000296,P003,S01,20260525,58,74,4"
"TXN000297,P004,S04,20260418,15,57,17"
"TXN000298,P004,S02,20250409,35,111,5"
"TXN000299,P004,S04,20250602,10,184,24"
"TXN000300,P002,S01,20251204,15,56,3"
"TXN000301,P005,S01,20261207,16,185,9"
"TXN000302,P003,S02,20250612,70,68,3"
"TXN000303,P005,S04,20261221,57,194,22"
"TXN000304,P005,S01,20261112,40,188,5"
"TXN000305,P004,S03,20250610,21,160,4"
"TXN000306,P002,S03,20260803,32,60,8"
"TXN000307,P001,S03,20260202,26,90,6"
"TXN000308,P002,S04,20251004,11,163,19"
"TXN000309,P005,S03,20260519,19,141,5"
"TXN000310,P002,S03,20260127,15,124,4"
"TXN000311,P004,S01,20250515,28,116,5"
"TXN000312,P001,S01,20250714,71,54,2"
"TXN000313,P004,S03,20260205,34,165,2"
"TXN000314,P001,S03,20261002,74,199,6"
"TXN000315,P005,S01,20250202,70,167,8"
"TXN000316,P001,S02,20261119,65,60,8"
"TXN000317,P001,S04,20260405,45,93,15"
"TXN000318,P001,S04,20260415,55,126,19"
"TXN000319,P002,S01,20260110,48,167,2"
"TXN000320,P002,S04,20250122,17,165,17"
"TXN000321,P005,S01,20261101,16,116,7"
"TXN000322,P001,S01,20250207,13,62,5"
"TXN000323,P003,S01,20250818,52,141,5"
"TXN000324,P005,S01,20251231,53,60,5"
"TXN000325,P001,S02,20260717,57,188,8"
"TXN000326,P001,S03,20260314,60,134,5"
"TXN000327,P002,S03,20251010,44,134,6"
"TXN000328,P005,S02,20250127,28,184,9"
"TXN000329,P001,S04,20250814,76,66,18"
"TXN000330,P001,S04,20251004,37,97,12"
"TXN000331,P005,S03,20260901,27,191,8"
"TXN000332,P003,S04,20251011,58,146,23"
"TXN000333,P005,S03,20260426,57,124,2"
"TXN000334,P005,S03,20260329,53,186,5"
"TXN000335,P003,S02,20261021,53,126,5"
"TXN000336,P005,S04,20260531,64,177,24"
"TXN000337,P001,S02,20260701,69,86,5"
"TXN000338,P005,S03,20250711,36,79,6"
"TXN000339,P003,S03,20250218,25,96,6"
"TXN000340,P004,S03,20260527,22,184,5"
"TXN000341,P005,S01,20250117,64,191,8"
"TXN000342,P002,S01,20250621,17,97,4"
"TXN000343,P001,S01,20250808,28,183,5"
"TXN000344,P001,S02,20250607,34,83,5"
"TXN000345,P002,S03,20260422,6,150,3"
"TXN000346,P002,S04,20250215,29,95,26"
"TXN000347,P005,S02,20260108,54,119,5"
"TXN000348,P002,S02,20260602,18,185,7"
"TXN000349,P004,S02,20250409,10,73,4"
"TXN000350,P003,S04,20250206,34,116,21"
"TXN000351,P002,S03,20251007,34,53,7"
"TXN000352,P002,S01,20251215,42,50,7"
"TXN000353,P004,S03,20260512,62,83,9"
"TXN000354,P001,S03,20251029,45,158,4"
"TXN000355,P001,S02,20250630,61,58,5"
"TXN000356,P005,S02,20260830,40,112,4"
"TXN000357,P004,S02,20250409,68,59,5"
"TXN000358,P003,S01,20261201,20,187,7"
"TXN000359,P003,S01,20250426,76,93,7"
"TXN000360,P004,S01,20250710,18,167,9"
"TXN000361,P003,S03,20250910,35,55,6"
"TXN000362,P001,S02,20250610,70,170,6"
"TXN000363,P003,S04,20250913,72,144,14"
"TXN000364,P003,S03,20251119,69,160,7"
"TXN000365,P004,S01,20250508,59,154,5"
"TXN000366,P004,S04,20250118,44,113,22"
"TXN000367,P003,S04,20260720,29,189,17"
"TXN000368,P002,S02,20260724,29,120,8"
"TXN000369,P004,S04,20251119,7,153,20"
"TXN000370,P005,S01,20261117,73,138,7"
"TXN000371,P005,S02,20260918,30,55,6"
"TXN000372,P001,S04,20251015,44,159,15"
"TXN000373,P003,S02,20261025,42,161,5"
"TXN000374,P002,S04,20261001,42,199,13"
"TXN000375,P001,S03,20250604,72,176,6"
"TXN000376,P003,S03,20260505,11,185,3"
"TXN000377,P004,S01,20260121,34,112,6"
"TXN000378,P005,S03,20250414,23,190,2"
"TXN000379,P002,S03,20260128,39,195,7"
"TXN000380,P005,S03,20250903,37,67,3"
"TXN000381,P004,S04,20250625,37,126,15"
"TXN000382,P003,S04,20250208,42,191,24"
"TXN000383,P004,S02,20260422,14,188,6"
"TXN000384,P004,S04,20261113,61,152,22"
"TXN000385,P005,S03,20260622,32,166,3"
"TXN000386,P002,S04,20260212,42,66,22"
"TXN000387,P004,S01,20260609,20,63,5"
"TXN000388,P005,S02,20260521,25,106,6"
"TXN000389,P002,S02,20250205,10,142,8"
"TXN000390,P003,S04,20261116,45,183,14"
"TXN000391,P003,S03,20250120,19,163,7"
"TXN000392,P001,S02,20251117,7,181,6"
"TXN000393,P005,S01,20260527,47,188,5"
"TXN000394,P002,S01,20260204,51,158,3"
"TXN000395,P004,S02,20261016,18,168,5"
"TXN000396,P003,S03,20260416,70,141,4"
"TXN000397,P002,S03,20250523,33,60,8"
"TXN000398,P005,S04,20250402,8,148,19"
"TXN000399,P001,S04,20251220,30,57,16"
"TXN000400,P003,S02,20261228,16,163,3"
"TXN000401,P002,S04,20250220,6,198,17"
"TXN000402,P002,S04,20261027,21,114,23"
"TXN000403,P002,S04,20261129,39,142,19"
"TXN000404,P005,S01,20260729,14,153,5"
"TXN000405,P005,S04,20250709,47,148,25"
"TXN000406,P005,S02,20250505,25,133,5"
"TXN000407,P004,S03,20250530,19,122,4"
"TXN000408,P002,S04,20251110,39,194,20"
"TXN000409,P003,S03,20260724,64,108,6"
"TXN000410,P005,S04,20251208,48,80,16"
"TXN000411,P005,S02,20251101,9,113,4"
"TXN000412,P002,S01,20261123,77,97,8"
"TXN000413,P005,S02,20261113,22,72,5"
"TXN000414,P004,S01,20250223,25,104,3"
"TXN000415,P004,S04,20260320,76,56,19"
"TXN000416,P005,S04,20260905,78,161,22"
"TXN000417,P002,S01,20250921,55,155,5"
"TXN000418,P002,S02,20250222,45,147,7"
"TXN000419,P002,S02,20260726,28,61,3"
"TXN000420,P001,S01,20260912,28,109,7"
"TXN000421,P005,S04,20250105,42,101,15"
"TXN000422,P002,S01,20250413,48,189,6"
"TXN000423,P004,S04,20250715,61,190,22"
"TXN000424,P003,S01,20251216,63,121,6"
"TXN000425,P003,S04,20250216,38,174,14"
"TXN000426,P002,S01,20261018,79,109,3"
"TXN000427,P003,S03,20250926,27,80,9"
"TXN000428,P003,S04,20260105,47,126,15"
"TXN000429,P001,S02,20260928,44,125,7"
"TXN000430,P004,S01,20250416,51,110,6"
"TXN000431,P004,S02,20261101,45,51,3"
"TXN000432,P001,S01,20261021,51,170,4"
"TXN000433,P001,S02,20261019,24,108,9"
"TXN000434,P003,S02,20250430,69,89,12"
"TXN000435,P005,S01,20260827,72,81,5"
"TXN000436,P003,S01,20250227,28,87,5"
"TXN000437,P001,S02,20251212,40,141,2"
"TXN000438,P004,S02,20260419,49,137,2"
"TXN000439,P003,S02,20250427,6,190,4"
"TXN000440,P005,S04,20250507,32,134,17"
"TXN000441,P003,S04,20260128,30,125,18"
"TXN000442,P002,S03,20261003,27,177,7"
"TXN000443,P003,S04,20250227,40,62,19"
"TXN000444,P001,S04,20260926,10,88,21"
"TXN000445,P004,S01,20260528,39,72,4"
"TXN000446,P004,S03,20250406,42,159,5"
"TXN000447,P001,S03,20260930,39,156,5"
"TXN000448,P002,S04,20250428,78,141,13"
"TXN000449,P001,S01,20260714,57,191,2"
"TXN000450,P003,S01,20260824,42,194,4"
"TXN000451,P001,S03,20260503,63,73,2"
"TXN000452,P001,S01,20250825,47,83,3"
"TXN000453,P002,S02,20250929,8,161,7"
"TXN000454,P003,S04,20250708,9,187,19"
"TXN000455,P005,S02,20261205,72,167,6"
"TXN000456,P005,S03,20260323,49,198,8"
"TXN000457,P004,S03,20260804,29,56,4"
"TXN000458,P001,S01,20250904,15,139,7"
"TXN000459,P004,S01,20250317,33,62,4"
"TXN000460,P002,S03,20250603,38,129,6"
"TXN000461,P005,S03,20261018,18,79,6"
"TXN000462,P001,S02,20260311,28,182,6"
"TXN000463,P002,S02,20250327,63,65,5"
"TXN000464,P002,S01,20261128,43,199,6"
"TXN000465,P001,S02,20251012,30,89,6"
"TXN000466,P002,S01,20250808,47,86,3"
"TXN000467,P001,S01,20250310,40,127,7"
"TXN000468,P001,S04,20250216,43,65,14"
"TXN000469,P003,S01,20250404,65,92,4"
"TXN000470,P004,S02,20260329,20,112,6"
"TXN000471,P002,S03,20250723,63,64,7"
"TXN000472,P002,S03,20250806,10,186,6"
"TXN000473,P003,S02,20260419,60,114,6"
"TXN000474,P003,S03,20260308,12,93,3"
"TXN000475,P003,S01,20251207,31,69,4"
"TXN000476,P005,S03,20260705,75,168,2"
"TXN000477,P005,S02,20260904,31,161,4"
"TXN000478,P005,S03,20251016,50,172,3"
"TXN000479,P001,S01,20250911,45,129,6"
"TXN000480,P002,S01,20251223,29,149,10"
"TXN000481,P004,S02,20250123,22,55,7"
"TXN000482,P001,S02,20260606,16,132,2"
"TXN000483,P002,S02,20250410,55,80,2"
"TXN000484,P002,S04,20250629,43,115,13"
"TXN000485,P003,S04,20250811,14,67,11"
"TXN000486,P003,S01,20261021,78,77,5"
"TXN000487,P001,S04,20260318,58,117,19"
"TXN000488,P003,S04,20260831,33,163,13"
"TXN000489,P002,S03,20251121,45,107,5"
"TXN000490,P003,S04,20260531,13,178,19"
"TXN000491,P005,S03,20250116,67,88,7"
"TXN000492,P003,S02,20251202,41,155,6"
"TXN000493,P002,S03,20250915,18,50,6"
"TXN000494,P001,S03,20260512,77,124,5"
"TXN000495,P004,S02,20250609,76,137,3"
"TXN000496,P003,S02,20260420,43,191,4"
"TXN000497,P002,S01,20261026,44,199,3"
"TXN000498,P004,S01,20261121,58,109,8"
"TXN000499,P004,S01,20261106,7,179,3"
"TXN000500,P005,S01,20260115,59,159,7"
"TXN000501,P004,S03,20260629,37,68,3"
"TXN000502,P002,S03,20261122,75,111,7"
"TXN000503,P002,S01,20260303,23,120,7"
"TXN000504,P003,S04,20260905,38,160,23"
"TXN000505,P003,S01,20250925,54,182,3"
"TXN000506,P003,S04,20260731,51,121,19"
"TXN000507,P004,S02,20260221,50,127,4"
"TXN000508,P004,S03,20250617,60,149,4"
"TXN000509,P005,S03,20250212,61,120,6"
"TXN000510,P003,S04,20260710,55,56,22"
"TXN000511,P001,S01,20251012,58,99,4"
"TXN000512,P005,S03,20260201,32,95,6"
"TXN000513,P001,S04,20250112,23,121,15"
"TXN000514,P004,S02,20260830,31,125,3"
"TXN000515,P005,S02,20251029,52,123,5"
"TXN000516,P005,S03,20250910,23,191,5"
"TXN000517,P002,S01,20260514,55,122,7"
"TXN000518,P004,S04,20250204,11,151,13"
"TXN000519,P004,S03,20261228,33,143,10"
"TXN000520,P005,S02,20250331,47,118,2"
"TXN000521,P004,S01,20260828,73,114,6"
"TXN000522,P005,S04,20260825,62,111,17"
"TXN000523,P002,S03,20260222,12,69,4"
"TXN000524,P005,S04,20250425,46,93,18"
"TXN000525,P004,S01,20260909,46,111,7"
"TXN000526,P004,S01,20250715,17,156,7"
"TXN000527,P005,S02,20260516,30,174,5"
"TXN000528,P005,S01,20260918,22,94,6"
"TXN000529,P005,S03,20260508,46,60,3"
"TXN000530,P003,S04,20250316,55,137,18"
"TXN000531,P004,S01,20260217,20,95,6"
"TXN000532,P004,S01,20260111,7,161,2"
"TXN000533,P003,S03,20260224,49,130,6"
"TXN000534,P005,S04,20261230,26,81,18"
"TXN000535,P002,S04,20251004,27,147,24"
"TXN000536,P005,S02,20261107,63,54,6"
"TXN000537,P005,S02,20260129,66,78,6"
"TXN000538,P003,S04,20260402,72,97,17"
"TXN000539,P004,S03,20250711,58,65,7"
"TXN000540,P005,S03,20261120,61,121,7"
"TXN000541,P004,S02,20250409,27,78,3"
"TXN000542,P001,S01,20260702,64,95,6"
"TXN000543,P004,S03,20250406,77,72,8"
"TXN000544,P002,S01,20261026,59,143,7"
"TXN000545,P002,S03,20261025,67,163,6"
"TXN000546,P005,S04,20250709,60,83,20"
"TXN000547,P004,S02,20250206,59,166,7"
"TXN000548,P005,S01,20260104,29,78,3"
"TXN000549,P003,S01,20261126,30,58,6"
"TXN000550,P002,S04,20260609,53,88,11"
"TXN000551,P005,S03,20251006,67,184,7"
"TXN000552,P003,S01,20250805,49,159,5"
"TXN000553,P005,S03,20250930,77,118,5"
"TXN000554,P004,S04,20250303,43,185,16"
"TXN000555,P004,S02,20260819,69,145,5"
"TXN000556,P004,S01,20261230,73,168,6"
"TXN000557,P004,S03,20251208,60,167,7"
"TXN000558,P001,S01,20260201,13,67,8"
"TXN000559,P003,S03,20261130,74,151,6"
"TXN000560,P003,S03,20250119,32,159,2"
"TXN000561,P004,S03,20250626,49,131,8"
"TXN000562,P001,S04,20260904,30,154,13"
"TXN000563,P004,S02,20260131,32,65,5"
"TXN000564,P001,S01,20260321,44,70,5"
"TXN000565,P004,S02,20250821,19,187,6"
"TXN000566,P002,S03,20250317,10,155,3"
"TXN000567,P002,S03,20250922,31,181,3"
"TXN000568,P005,S02,20260331,42,93,5"
"TXN000569,P004,S02,20261219,72,172,4"
"TXN000570,P003,S01,20260119,79,185,8"
"TXN000571,P005,S03,20260718,68,160,4"
"TXN000572,P002,S02,20260521,34,166,3"
"TXN000573,P004,S04,20260102,7,175,25"
"TXN000574,P005,S03,20250524,66,68,6"
"TXN000575,P004,S03,20250310,16,113,11"
"TXN000576,P002,S01,20250409,34,89,2"
"TXN000577,P005,S04,20260131,42,100,19"
"TXN000578,P002,S01,20250125,64,186,6"
